id,identifiant,numero,adresse,postal,commune,source,geom,date,x,y,k
0,0,0,0,0,0,0,0,0,655744.6599016535,6863167.874173139,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655367.5310162099,6864152.280010756,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,656055.6992475704,6863809.799564181,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654952.6126463825,6863499.285769795,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655323.0331787928,6863807.443247358,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655380.8377932452,6863228.691630027,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655987.5674729951,6863696.6572126625,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655225.4859575273,6863913.408577733,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,653993.3775558986,6863878.513967234,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655522.2617246881,6863807.952107182,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654841.0092374193,6863433.447368059,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654121.3934747843,6863696.097907901,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654277.7548023905,6863708.410553969,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655916.7498681383,6863609.286354261,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654432.3790576365,6863887.770359035,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655783.1367599032,6863237.254994944,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654137.7346137288,6863590.61973174,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655380.2217370212,6863893.870639272,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655517.7402685913,6863959.6977791395,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654764.2773856065,6863437.947821276,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655350.8781363665,6863102.824913809,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655430.8014422053,6863064.353818369,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655304.7436033093,6863135.3274732195,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655582.0200286519,6863172.95732177,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655619.7163727236,6863285.860765645,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655371.8850319771,6863094.503477595,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654443.0187597518,6863232.799045628,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655247.8272510326,6864418.1124883285,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655064.5406043736,6863821.225963412,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655044.7258365395,6864153.057372904,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655856.5454597389,6863189.512031543,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654926.9484781765,6863535.638941544,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654382.152557689,6863233.151167729,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655056.7021618584,6863412.90526386,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655071.5113401758,6863052.488810698,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655414.1921400796,6863982.683327099,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654498.3463508501,6863227.367472211,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,656056.189887235,6863813.01319671,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655411.7093985009,6863507.814650673,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655085.7863447135,6863822.7200316815,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655508.4191959136,6863235.7584831845,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654902.116503231,6863581.096868475,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,653997.9801947024,6863697.128192743,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654405.5289574377,6863384.565138028,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655432.6061146248,6863044.115473434,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655439.6250987392,6863887.89426397,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654402.2829017079,6863368.1875659935,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655262.7663868363,6863495.460130111,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,656218.042732252,6863740.607311875,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655360.2482705509,6863313.694794106,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654175.4046284889,6863634.6902482025,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654986.7337415904,6863759.385613424,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655254.5793137247,6863895.226076293,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655526.4601149536,6863824.76270291,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,653968.1496750792,6863687.431421449,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655207.9021903154,6864410.307850055,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655579.0585043045,6863131.6444275025,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654010.7833507989,6863900.420233714,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655364.0036618059,6863633.985005159,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655122.142588301,6863809.951844227,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655548.0144818746,6863176.239758901,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655111.9360587425,6863846.669568669,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654511.1057064392,6863200.9242255045,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,656114.1802973682,6863918.356076868,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655537.293138875,6863965.2141531445,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654068.8213297955,6863702.394706608,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655176.4520240991,6863387.549294728,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654984.279917413,6863214.41059333,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,656208.0582995438,6863759.595328657,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,656063.8223360296,6863776.208175455,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655530.8885744212,6863937.5106339315,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654522.3596767659,6863782.687720988,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654938.7336255404,6863597.48955195,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,655161.7497097458,6864398.353622178,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,656209.7731334734,6863718.736182383,3692,0.14355362946912242
0,0,0,0,0,0,0,0,0,654957.911799977,6863726.035511382,3692,0.14355362946912242
